has_sleep_data;efficiency;com.samsung.health.sleep.start_time;com.samsung.health.sleep.end_time
0;89.0;2020-06-26 22:13:00.000;2020-06-27 02:07:00.000
0;87.0;2020-06-19 03:26:00.000;2020-06-19 06:00:00.000
0;87.0;2020-06-22 03:00:00.000;2020-06-22 05:29:00.000
0;88.0;2020-07-11 23:50:00.000;2020-07-12 02:14:00.000
0;91.0;2020-07-04 23:56:00.000;2020-07-05 01:59:00.000
0;90.0;2020-07-05 05:09:00.000;2020-07-05 07:33:00.000
0;90.0;2020-06-25 22:09:00.000;2020-06-26 01:29:00.000
0;90.0;2020-06-29 22:15:00.000;2020-06-30 01:28:00.000
0;86.0;2020-07-07 03:39:00.000;2020-07-07 06:42:00.000
1;88.0;2020-07-07 23:24:00.000;2020-07-08 01:59:00.000
0;89.0;2020-06-21 22:06:00.000;2020-06-21 23:40:00.000
0;90.0;2020-07-03 23:13:00.000;2020-07-04 01:59:00.000
0;87.0;2020-07-10 22:12:00.000;2020-07-11 02:02:00.000
0;89.0;2020-07-09 03:45:00.000;2020-07-09 05:46:00.000
0;88.0;2020-06-23 03:43:00.000;2020-06-23 06:35:00.000
0;81.0;2020-07-14 21:56:00.000;2020-07-14 23:17:00.000
0;84.0;2020-07-12 03:54:00.000;2020-07-12 05:55:00.000
0;75.0;2020-06-29 03:24:00.000;2020-06-29 04:57:00.000
0;87.0;2020-07-05 22:18:00.000;2020-07-05 23:55:00.000
1;84.0;2020-06-27 03:23:00.000;2020-06-27 07:05:00.000
0;92.0;2020-07-17 23:34:00.000;2020-07-18 02:19:00.000
0;84.0;2020-07-13 22:07:00.000;2020-07-13 23:13:00.000
0;87.0;2020-06-30 23:30:00.000;2020-07-01 03:12:00.000
1;95.0;2020-06-30 01:38:00.000;2020-06-30 02:00:00.000
0;88.0;2020-07-14 23:25:00.000;2020-07-15 02:19:00.000
0;83.0;2020-07-16 05:01:00.000;2020-07-16 07:00:00.000
0;87.0;2020-07-04 03:31:00.000;2020-07-04 07:16:00.000
0;95.0;2020-07-06 22:09:00.000;2020-07-07 00:12:00.000
0;87.0;2020-07-18 23:34:00.000;2020-07-19 02:19:00.000
0;81.0;2020-07-08 03:51:00.000;2020-07-08 06:36:00.000
